83, 76833, 0
569083, 1562416, 10000
1149125, 3040500, 20000
1480584, 3931959, 30000
1808708, 4428166, 40000
2190792, 5557458, 50000
2231042, 6342292, 60000
2386541, 6922916, 70000
2565000, 6729417, 80000
2702167, 7418792, 90000
3044625, 7876166, 100000
3330458, 8947958, 110000
3595709, 10317417, 120000
3912667, 11505209, 130000
4305292, 12407042, 140000
4492833, 12932000, 150000
4845333, 13995000, 160000
5107791, 14200291, 170000
5439792, 15765042, 180000
5767334, 16006500, 190000
6037125, 17338167, 200000
6284500, 18470583, 210000
6662833, 18309708, 220000
6994167, 19778167, 230000
7289833, 21060625, 240000
7649458, 21640375, 250000
7957208, 21903417, 260000
8288125, 24153291, 270000
8706125, 24633125, 280000
8866708, 25828416, 290000
9198292, 26686917, 300000
9506750, 26116084, 310000
9762833, 26860500, 320000
9960250, 28217458, 330000
10220208, 28680500, 340000
10729208, 29303458, 350000
10829250, 29054125, 360000
11313917, 28903583, 370000
11692875, 31409875, 380000
11777459, 33965625, 390000
12148083, 35486583, 400000
12513459, 37043542, 410000
12705750, 37292291, 420000
12931708, 36568583, 430000
13280458, 36938417, 440000
13890208, 39658833, 450000
14104917, 39277459, 460000
14373625, 41444667, 470000
14686292, 41916917, 480000
14965209, 43502834, 490000
15453875, 42229709, 500000
