66745375, 116153500, 1050000
113037417, 221081667, 2050000
168068083, 311366292, 3050000
223446041, 412179708, 4050000
278351583, 512672667, 5050000
333913166, 615355208, 6050000
390560959, 722799750, 7050000
446140333, 822721541, 8050000
501132875, 975936958, 9050000
555060917, 1069850000, 10050000
